record_type,name,x,y,category,notes,icon_url,color,x1,y1,x2,y2,image_url,image_opacity,image_scale
zone,No-Go Zone,,,,,,"hsla(0, 70%, 60%, 0.5)",0,0,5,10,,,
zone,Fun Zone,,,,,,"hsla(270, 50%, 60%, 0.5)",5,0,8,5,,,
zone,Danger Zone,,,,,,"hsla(30, 90%, 55%, 0.5)",5,5,8,10,,,
zone,Date Zone,,,,,,"hsla(195, 80%, 60%, 0.5)",8,5,10,10,,,
zone,Unicorn Zone,,,,,,"hsla(300, 80%, 75%, 0.5)",8,0,10,2,,,
zone,Wife Zone,,,,,,"hsla(120, 70%, 55%, 0.5)",8,2,10,5,,,
point,Chrome,8.09,4.5,Enterprise Browser,Enterprise standard,/data/browser-icons/chrome.svg,,,,,,,,
point,Microsoft Edge,8.08,4.32,Enterprise Browser,M365 integration,/data/browser-icons/edge.svg,,,,,,,,
point,Firefox,8.45,5.55,Mainstream Browser,Strong policies,/data/browser-icons/firefox.svg,,,,,,,,
point,Safari,9.15,5.2,Mainstream Browser,Apple default,/data/browser-icons/safari.svg,,,,,,,,
point,Opera,5.76,3.33,Consumer Browser,General use,/data/browser-icons/opera.svg,,,,,,,,
point,Chromium,7.55,5,Engine Base,Base engine,/data/browser-icons/chrome.svg,,,,,,,,
point,Tor Browser,5.71,3.97,Specialized Browser,Anonymity,/data/browser-icons/tor.svg,,,,,,,,
point,Island Enterprise Browser,8.75,2.7,Enterprise Secure Browser,RBI,/data/browser-icons/island-enterprise-browser.svg,,,,,,,,
point,Talon,8.13,2.95,Enterprise Secure Browser,Secure browser,/data/browser-icons/talon-security.svg,,,,,,,,
point,Prisma Access Browser,8.96,3.65,Enterprise Secure Browser,SASE,/data/browser-icons/prisma-access-browser.svg,,,,,,,,
point,Citrix Secure Browser,8.19,3.87,Enterprise Secure Browser,VDI hybrid,/data/browser-icons/citrix-secure-browser.svg,,,,,,,,
point,Surf Security Browser,8.75,4.15,Enterprise Secure Browser,Managed,/data/browser-icons/surf-security-browser.svg,,,,,,,,
point,Ivanti Velocity,8.16,6.42,Kiosk Browser,Industrial browser,/data/browser-icons/ivanti-velocity.svg,,,,,,,,
point,Zebra Enterprise Browser,8.15,6.75,Kiosk Browser,Zebra devices,/data/browser-icons/zebra-enterprise-browser.svg,,,,,,,,
point,42Gears SureFox,8.96,6.13,Kiosk Browser,Android lockdown,/data/browser-icons/42gears-surefox.svg,,,,,,,,
point,BlackBerry Access,8.26,7.35,Enterprise Secure Browser,Secure access,/data/browser-icons/blackberry-access.svg,,,,,,,,
point,Internet Explorer,5.16,5.17,Legacy Browser,Deprecated,/data/browser-icons/internet-explorer.svg,,,,,,,,
point,Comodo Dragon,3.2,8.95,Risky Browser,Security branding mismatch,/data/browser-icons/comodo-dragon.svg,,,,,,,,
point,SRWare Iron,3,9.2,Risky Browser,Privacy claims,/data/browser-icons/srware-iron.svg,,,,,,,,
point,360 Browser,2.55,9.45,Risky Browser,Chinese ecosystem,/data/browser-icons/360-browser.svg,,,,,,,,
point,Yandex Browser,4.99,7.8,Niche Browser,Russian ecosystem,/data/browser-icons/yandex-browser.svg,,,,,,,,
point,Google Ultron,9.01,1.35,,,,,,,,,,,
point,Wave Browser,1.1,8.8,,,,,,,,,,,
point,OneLaunch,0.73,9.2,,,,,,,,,,,
point,Torch Browser,1.59,8.55,,,,,,,,,,,
point,Harmony Browse,8.4,9,,,,,,,,,,,
point,Citrix Enterprise Browser,8.06,4.78,,,,,,,,,,,
point,Seraphic,8.33,7.87,,,,,,,,,,,
point,CyberArk Secure Browser,8.38,7.57,,,,,,,,,,,
point,SURF Zero Trust Browser,8.76,8.63,,,,,,,,,,,
point,Push Security,8.13,9.58,,,,,,,,,,,
